City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Borovskoy,KZ,73.65,scattered clouds,53.8,64.15,Аренда жилья/Баня
575,Sola,VU,83.07,scattered clouds,-13.8833,167.55,Leumerus Bungalows
576,Djibo,BF,87.26,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
577,Manadhoo,MV,82.47,overcast clouds,5.7667,73.3833,Vevu Guesthouse
578,Whitehorse,CA,70.57,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
579,Santa Cruz Cabralia,BR,73.63,clear sky,-16.2781,-39.0247,Portobali Hotel
580,Pathein,MM,77.94,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
582,Basoko,CD,75.43,overcast clouds,1.2391,23.616,Jackyna Hotel
583,Akdepe,TM,80.69,clear sky,42.0551,59.3788,Мой дом
591,May Pen,JM,85.21,scattered clouds,17.9645,-77.2451,Mus Com Bac
593,Guayaramerin,BO,76.08,clear sky,-10.8368,-65.3614,Hostal Funf
